,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,si_sdr_speaker0,si_sdr_spkeaker1
142,142,0.27,9.1,-1.9816397428512573,-2.5325357913970947,-0.5508960485458374,-0.5818064212799072,-0.5199857354164124,-0.9543078541755676,-4.1107635498046875
143,143,0.58,14.45,0.17737610638141632,0.008914182893931866,-0.16846191883087158,-0.17853614687919617,-0.1583877056837082,-0.005630740895867348,0.02345910668373108
144,144,0.44,10.94,3.420572519302368,3.084305763244629,-0.33626675605773926,-0.3516849875450134,-0.3208485245704651,2.5111584663391113,3.6574532985687256
145,145,0.55,1.49,9.595306396484375,7.154420375823975,-2.4408864974975586,-2.426527976989746,-2.45524525642395,5.910967826843262,8.397872924804688
146,146,0.46,12.93,8.435043334960938,8.346742630004883,-0.08830051869153976,-0.0887274295091629,-0.08787360787391663,8.179169654846191,8.514314651489258
147,147,0.42,5.92,9.40811538696289,8.44029426574707,-0.9678213596343994,-0.9675481915473938,-0.968094527721405,8.77041244506836,8.110176086425781
148,148,0.33,9.46,6.029484272003174,5.567992210388184,-0.4614920914173126,-0.46764856576919556,-0.4553356170654297,5.525909423828125,5.610074996948242
149,149,0.6,10.94,6.8498735427856445,6.463155746459961,-0.3867179751396179,-0.3794465959072113,-0.3939893841743469,6.418066024780273,6.50824499130249
150,150,0.53,2.33,7.7658891677856445,5.784289360046387,-1.981600046157837,-1.9811052083969116,-1.9820947647094727,5.581249713897705,5.987329006195068
151,151,0.28,2.83,10.322244644165039,8.511117935180664,-1.8111262321472168,-1.8141155242919922,-1.8081369400024414,8.81918716430664,8.203049659729004
152,152,0.37,12.92,6.020740985870361,5.783708572387695,-0.2370324581861496,-0.23596245050430298,-0.23810246586799622,5.914215087890625,5.653202056884766
153,153,0.55,0.56,1.7001460790634155,-1.0808430910110474,-2.780989170074463,-2.812199354171753,-2.749779224395752,-1.623772144317627,-0.5379140973091125
154,154,0.5,12.71,7.442624568939209,7.285586357116699,-0.15703827142715454,-0.14526410400867462,-0.16881245374679565,7.183970928192139,7.387202262878418
155,155,0.4,10.99,4.76632833480835,4.438856601715088,-0.32747164368629456,-0.3117370903491974,-0.3432061970233917,4.477769374847412,4.399943828582764
156,156,0.44,0.9,0.5605552196502686,-1.925391435623169,-2.4859466552734375,-2.52275013923645,-2.4491429328918457,-2.6073904037475586,-1.2433924674987793
157,157,0.49,0.17,8.594768524169922,5.744070053100586,-2.8506979942321777,-2.8599607944488525,-2.841434955596924,5.16995906829834,6.318180561065674
158,158,0.4,6.69,5.1227922439575195,4.223132610321045,-0.8996595144271851,-0.8942265510559082,-0.9050924777984619,4.761208534240723,3.6850569248199463
159,159,0.55,5.76,3.7275967597961426,2.6669259071350098,-1.0606709718704224,-1.0603265762329102,-1.0610153675079346,2.945469379425049,2.3883824348449707
