,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,complement_si_sdr_speaker0,complement_si_sdr_speaker1,si_sdr_speaker0,si_sdr_speaker1
3252,3252,0.51,10.17,8.16354751586914,7.352781295776367,-0.8107666969299316,0.9961891770362854,-2.617722511291504,7.168083190917969,4.326908111572266,8.766403198242188,5.939159870147705
3253,3253,0.42,4.43,2.06593656539917,-0.29586201906204224,-2.3617985248565674,-3.8119683265686035,-0.9116285443305969,0.5154709815979004,0.21944493055343628,-1.1819206476211548,0.5901966094970703
3254,3254,0.5,6.77,9.715598106384277,7.872925758361816,-1.84267258644104,1.711063265800476,-5.396408557891846,9.978395462036133,6.387796401977539,10.831775665283203,4.914076328277588
3255,3255,0.5,2.66,10.865328788757324,6.967381477355957,-3.897947311401367,-7.920742034912109,0.12484718859195709,2.6901018619537354,12.000699996948242,5.6673359870910645,8.267426490783691
3256,3256,0.39,14.57,-2.823066234588623,-3.198915719985962,-0.3758496046066284,-4.688077926635742,3.9363787174224854,-6.3626556396484375,0.30261728167533875,-6.27207088470459,-0.12576043605804443
3257,3257,0.23,7.44,8.615339279174805,6.891777038574219,-1.7235620021820068,-5.722721099853516,2.275597095489502,4.1574931144714355,10.200040817260742,4.623386859893799,9.16016674041748
3258,3258,0.37,5.44,9.334317207336426,6.468432426452637,-2.865884780883789,-8.390449523925781,2.658679962158203,2.2690513134002686,11.170886993408203,2.625591516494751,10.311273574829102
3259,3259,0.58,14.44,6.599246025085449,6.249384880065918,-0.3498610258102417,3.4210169315338135,-4.120738983154297,8.804104804992676,3.313850164413452,8.432853698730469,4.065916061401367
3260,3260,0.54,5.56,5.498841762542725,2.660101890563965,-2.8387398719787598,2.833357095718384,-8.510836601257324,8.688787460327148,-2.544081687927246,8.000627517700195,-2.6804237365722656
3261,3261,0.35,13.04,10.023542404174805,9.230066299438477,-0.7934765815734863,6.337129592895508,-7.9240827560424805,13.668402671813965,3.031106948852539,13.097196578979492,5.362936019897461
3262,3262,0.48,7.89,7.553900718688965,5.176535606384277,-2.3773653507232666,-10.307527542114258,5.552796840667725,-2.184375047683716,12.546566009521484,-0.06922557204961777,10.422296524047852
3263,3263,0.42,4.66,5.603374481201172,3.343843698501587,-2.259530544281006,-2.9480772018432617,-1.5709840059280396,2.8905704021453857,3.978383779525757,2.6508121490478516,4.036875247955322
3264,3264,0.34,9.03,5.149155139923096,4.118309020996094,-1.030846118927002,1.5969643592834473,-3.658656597137451,5.666716575622559,2.4843077659606934,6.138660907745361,2.097956895828247
3265,3265,0.49,12.29,7.725365161895752,7.186624526977539,-0.5387406349182129,-3.231431007385254,2.153949737548828,5.694230079650879,8.743401527404785,5.3244805335998535,9.048768043518066
3266,3266,0.48,13.4,0.8959130048751831,0.25977981090545654,-0.6361331939697266,4.753035545349121,-6.025301933288574,4.56536865234375,-3.102522850036621,4.036309719085693,-3.5167500972747803
3267,3267,0.58,11.83,6.4866743087768555,5.991003036499023,-0.4956713318824768,-1.8388011455535889,0.8474584817886353,4.678607940673828,7.029947280883789,5.2038044929504395,6.778201103210449
3268,3268,0.46,7.03,8.185900688171387,6.672118663787842,-1.513782024383545,0.7803075313568115,-3.8078715801239014,8.899967193603516,5.024835586547852,7.969911098480225,5.374326229095459
3269,3269,0.27,8.98,11.617820739746094,10.625978469848633,-0.9918417930603027,-2.432253360748291,0.44856971502304077,9.535968780517578,10.8033447265625,9.304121017456055,11.947835922241211
3270,3270,0.45,6.46,3.4379329681396484,1.577788233757019,-1.8601447343826294,-4.950980186462402,1.2306907176971436,0.15485873818397522,4.127572059631348,-1.1649091243743896,4.320485591888428
3271,3271,0.58,4.76,8.994041442871094,6.762137413024902,-2.2319045066833496,-2.2137508392333984,-2.250058174133301,6.404077529907227,7.562272071838379,7.481985092163086,6.0422892570495605
