,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,si_sdr_speaker0,si_sdr_spkeaker1,vad_accuracy,vad_acc_speaker0,vad_acc_speaker1
42,42,0.5,9.16,6.586501598358154,5.539020538330078,-1.0474810600280762,1.5257488489151,-3.620710849761963,6.630035400390625,4.448005199432373,0.9440000057220459,0.9615999460220337,0.9264000058174133
43,43,0.31,1.61,7.416286945343018,2.4737491607666016,-4.942537784576416,-10.129301071166992,0.24422574043273926,-2.952531576156616,7.900030136108398,0.8935999870300293,0.8863999843597412,0.9007999897003174
44,44,0.49,5.22,7.553653240203857,5.442069053649902,-2.111584186553955,-0.4018418788909912,-3.82132625579834,6.827974796295166,4.056163787841797,0.8639999628067017,0.8431999683380127,0.8847999572753906
45,45,0.42,0.2,10.058767318725586,4.667805194854736,-5.390962600708008,-1.7970103025436401,-8.984914779663086,7.767245292663574,1.5683650970458984,0.9103999733924866,0.9296000003814697,0.8912000060081482
46,46,0.52,2.59,7.942817687988281,3.9522597789764404,-3.990557909011841,-8.188544273376465,0.2074282467365265,-0.17293787002563477,8.077457427978516,0.9479999542236328,0.9103999733924866,0.9855999946594238
47,47,0.35,3.85,10.816226959228516,7.919508934020996,-2.8967185020446777,-0.5192916393280029,-5.274145603179932,8.44337272644043,7.3956451416015625,0.9631999731063843,0.9615999460220337,0.9648000001907349
48,48,0.31,3.31,9.962020874023438,5.984078407287598,-3.977942705154419,-9.002713203430176,1.0468279123306274,2.7614901065826416,9.206666946411133,0.9639999866485596,0.9455999732017517,0.9824000000953674
49,49,0.49,2.45,7.6180596351623535,4.263118743896484,-3.354940891265869,-2.262476682662964,-4.447404861450195,5.981223106384277,2.545013904571533,0.9175999760627747,0.9519999623298645,0.8831999897956848
50,50,0.37,0.64,8.063274383544922,3.028049945831299,-5.035223960876465,-1.3722002506256104,-8.698247909545898,4.861044883728027,1.1950547695159912,0.9175999760627747,0.9199999570846558,0.9151999950408936
51,51,0.43,11.95,11.400471687316895,10.6668119430542,-0.7336597442626953,5.602980613708496,-7.070300102233887,14.43154239654541,6.9020819664001465,0.9767999649047852,0.9871999621391296,0.9663999676704407
52,52,0.55,14.53,11.497597694396973,11.201719284057617,-0.29587864875793457,-3.6638660430908203,3.072108745574951,9.259340286254883,13.144098281860352,0.9472000002861023,0.91839998960495,0.9759999513626099
53,53,0.38,12.49,7.796816825866699,7.205772876739502,-0.5910439491271973,-5.063952445983887,3.881864547729492,4.646910667419434,9.76463508605957,0.9311999678611755,0.8991999626159668,0.9631999731063843
54,54,0.59,5.68,9.414019584655762,7.0685248374938965,-2.3454947471618652,1.94683837890625,-6.6378278732299805,10.589454650878906,3.5475950241088867,0.9775999784469604,0.9824000000953674,0.9727999567985535
55,55,0.45,10.01,12.511798858642578,11.71174430847168,-0.8000548481941223,-2.0978915691375732,0.4977818727493286,10.256871223449707,13.166618347167969,0.9791999459266663,0.9919999837875366,0.9663999676704407
56,56,0.58,9.7,4.017730236053467,3.0463783740997314,-0.9713518619537354,2.3782529830932617,-4.320956707000732,5.650848865509033,0.4419078826904297,0.9031999707221985,0.9359999895095825,0.8703999519348145
57,57,0.32,14.69,11.082088470458984,10.451974868774414,-0.6301131248474121,7.945622444152832,-9.205848693847656,15.333353042602539,5.5705976486206055,0.9807999730110168,0.9695999622344971,0.9919999837875366
58,58,0.5,3.31,9.154043197631836,6.191285133361816,-2.9627578258514404,-1.055026888847351,-4.87048864364624,8.209277153015137,4.173292636871338,0.9615999460220337,0.9503999948501587,0.9727999567985535
59,59,0.54,8.64,2.998183250427246,1.980622410774231,-1.0175607204437256,0.32261282205581665,-2.357734203338623,2.7905895709991455,1.1706552505493164,0.9527999758720398,0.9472000002861023,0.9583999514579773
60,60,0.23,6.92,11.347691535949707,9.789789199829102,-1.5579023361206055,-3.568967819213867,0.45316314697265625,8.296464920043945,11.283112525939941,0.9567999839782715,0.9727999567985535,0.9407999515533447
61,61,0.48,6.57,8.398874282836914,6.217993259429932,-2.1808807849884033,2.806826591491699,-7.168588161468506,9.502850532531738,2.933135986328125,0.9575999975204468,0.9695999622344971,0.9455999732017517
62,62,0.58,6.87,7.157613277435303,5.592126846313477,-1.5654864311218262,-4.2853922843933105,1.1544193029403687,3.893747091293335,7.290506839752197,0.9607999920845032,0.9472000002861023,0.974399983882904
63,63,0.32,0.46,0.8724992275238037,-3.5699470043182373,-4.442446231842041,-4.679644584655762,-4.20524787902832,-2.360703468322754,-4.779190540313721,0.7799999713897705,0.7983999848365784,0.7615999579429626
64,64,0.23,5.75,10.839670181274414,8.981804847717285,-1.8578650951385498,-1.4332813024520874,-2.2824487686157227,8.047017097473145,9.916592597961426,0.9511999487876892,0.9247999787330627,0.9775999784469604
65,65,0.47,6.95,12.754627227783203,10.23979377746582,-2.5148329734802246,4.1406965255737305,-9.17036247253418,13.978803634643555,6.500784873962402,0.9103999733924866,0.876800000667572,0.9440000057220459
66,66,0.36,9.59,9.671745300292969,8.492536544799805,-1.179208517074585,3.476807117462158,-5.835224151611328,11.145484924316406,5.839588165283203,0.967199981212616,0.9663999676704407,0.9679999947547913
67,67,0.28,2.62,10.875982284545898,7.387327671051025,-3.488654851913452,-0.8761763572692871,-6.101133346557617,9.241799354553223,5.532855987548828,0.9031999707221985,0.9567999839782715,0.8495999574661255
68,68,0.21,0.21,2.6301157474517822,-2.026371717453003,-4.656487464904785,-5.115190505981445,-4.197783946990967,-3.1262006759643555,-0.9265427589416504,0.7687999606132507,0.7152000069618225,0.8223999738693237
69,69,0.43,8.19,4.807044982910156,3.5566811561584473,-1.250363826751709,0.9261622428894043,-3.4268898963928223,5.105701446533203,2.0076606273651123,0.9711999893188477,0.9824000000953674,0.9599999785423279
70,70,0.59,8.89,12.234800338745117,10.870037078857422,-1.3647630214691162,3.579805850982666,-6.309331893920898,12.287786483764648,9.452287673950195,0.990399956703186,0.9887999892234802,0.9919999837875366
71,71,0.46,12.55,8.655572891235352,8.271411895751953,-0.384160578250885,1.3622509241104126,-2.1305720806121826,9.319769859313965,7.223054885864258,0.9703999757766724,0.9663999676704407,0.974399983882904
72,72,0.25,8.42,9.564706802368164,7.157009124755859,-2.407698154449463,-10.68905258178711,5.873656272888184,2.4230053424835205,11.891013145446777,0.9503999948501587,0.9296000003814697,0.9711999893188477
73,73,0.56,14.04,5.111679553985596,4.679134845733643,-0.4325448274612427,-3.1680970191955566,2.3030073642730713,2.761589288711548,6.596680641174316,0.9527999758720398,0.9359999895095825,0.9695999622344971
74,74,0.44,7.33,10.542770385742188,8.949003219604492,-1.5937676429748535,-4.985518932342529,1.7979835271835327,7.017589569091797,10.880417823791504,0.9855999946594238,0.995199978351593,0.9759999513626099
75,75,0.51,13.94,9.895523071289062,9.558266639709473,-0.3372567892074585,-4.49733829498291,3.822824716567993,7.501698017120361,11.614835739135742,0.9751999974250793,0.9679999947547913,0.9824000000953674
76,76,0.56,6.85,-2.779876232147217,-4.606100559234619,-1.826224446296692,3.1104066371917725,-6.762855529785156,-0.2611270248889923,-8.95107364654541,0.7439999580383301,0.7343999743461609,0.753600001335144
77,77,0.4,7.76,8.650981903076172,7.101027488708496,-1.5499542951583862,-5.423318862915039,2.3234102725982666,5.100917816162109,9.101137161254883,0.9455999732017517,0.9296000003814697,0.9615999460220337
78,78,0.43,11.93,10.327644348144531,9.715644836425781,-0.6119992733001709,0.48445385694503784,-1.7084524631500244,9.911443710327148,9.519845008850098,0.9711999893188477,0.9648000001907349,0.9775999784469604
79,79,0.33,12.02,11.36719036102295,10.867256164550781,-0.4999346137046814,-1.4083807468414307,0.40851151943206787,10.570940971374512,11.163570404052734,0.9727999567985535,0.9935999512672424,0.9519999623298645
80,80,0.35,8.02,10.116044044494629,8.860910415649414,-1.2551333904266357,-0.4137026071548462,-2.096564292907715,9.037712097167969,8.684109687805176,0.9239999651908875,0.9039999842643738,0.9440000057220459
81,81,0.23,5.92,9.05302619934082,7.127266883850098,-1.9257597923278809,0.08489957451820374,-3.9364192485809326,8.164125442504883,6.0904083251953125,0.9583999514579773,0.9807999730110168,0.9359999895095825
82,82,0.48,13.2,8.693918228149414,8.364420890808105,-0.32949724793434143,-1.0612311363220215,0.4022366404533386,8.080564498901367,8.648277282714844,0.9391999840736389,0.9296000003814697,0.9487999677658081
83,83,0.48,0.6,10.572807312011719,6.150829315185547,-4.421977519989014,-3.4573001861572266,-5.386654853820801,6.217084884643555,6.084573745727539,0.9399999976158142,0.9296000003814697,0.9503999948501587
84,84,0.25,11.97,9.536580085754395,8.863351821899414,-0.6732280254364014,-5.219076156616211,3.872620105743408,5.932015895843506,11.794687271118164,0.9495999813079834,0.9391999840736389,0.9599999785423279
85,85,0.32,10.44,9.876348495483398,8.783092498779297,-1.0932559967041016,-6.452563285827637,4.266051292419434,5.64798641204834,11.918197631835938,0.972000002861023,0.9775999784469604,0.9663999676704407
86,86,0.33,3.37,8.907890319824219,5.3174920082092285,-3.590397834777832,-7.9615397453308105,0.7807439565658569,3.257298231124878,7.377685546875,0.9343999624252319,0.8847999572753906,0.9839999675750732
87,87,0.23,11.21,9.736763000488281,8.87047004699707,-0.8662927150726318,4.816718578338623,-6.549304008483887,11.724858283996582,6.016082286834717,0.9375999569892883,0.9311999678611755,0.9440000057220459
88,88,0.3,3.69,9.496867179870605,6.79988431930542,-2.6969828605651855,-0.7269450426101685,-4.667020797729492,8.751298904418945,4.8484697341918945,0.9544000029563904,0.9535999894142151,0.9551999568939209
