,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,si_sdr_speaker0,si_sdr_spkeaker1,vad_accuracy,vad_acc_speaker0,vad_acc_speaker1
4027,4027,0.24,14.61,5.467489719390869,5.220865249633789,-0.24662438035011292,-0.2467980831861496,-0.24645066261291504,5.237166404724121,5.204564094543457,0.6823999881744385,0.6656000018119812,0.6991999745368958
4028,4028,0.59,1.32,7.277034759521484,4.942530632019043,-2.3345038890838623,-2.311342716217041,-2.3576650619506836,4.811465263366699,5.073596000671387,0.5568000078201294,0.5823999643325806,0.5311999917030334
4029,4029,0.33,7.49,6.546473979949951,5.837923526763916,-0.7085505723953247,-0.6597078442573547,-0.7573933601379395,6.096696853637695,5.579150199890137,0.5471999645233154,0.7055999636650085,0.3887999951839447
4030,4030,0.46,2.11,12.397031784057617,10.335538864135742,-2.061492919921875,-2.0437755584716797,-2.0792102813720703,10.885056495666504,9.786022186279297,0.47519999742507935,0.3296000063419342,0.6207999587059021
4031,4031,0.48,13.22,-0.7607072591781616,-0.9344828724861145,-0.1737755835056305,-0.166118323802948,-0.181432843208313,-0.5462609529495239,-1.322704792022705,0.7391999959945679,0.7504000067710876,0.7279999852180481
4032,4032,0.35,7.32,5.573957920074463,4.864724159240723,-0.7092335820198059,-0.7231137156486511,-0.6953534483909607,4.942979335784912,4.786468505859375,0.6247999668121338,0.6495999693870544,0.5999999642372131
4033,4033,0.22,9.35,9.650114059448242,9.340646743774414,-0.30946749448776245,-0.31131964921951294,-0.3076153099536896,9.385257720947266,9.296034812927246,0.7576000094413757,0.795199990272522,0.7199999690055847
4034,4034,0.55,5.13,4.130478382110596,3.02699613571167,-1.1034823656082153,-1.0886605978012085,-1.1183041334152222,3.413393974304199,2.6405982971191406,0.7519999742507935,0.8367999792098999,0.667199969291687
4035,4035,0.36,5.17,10.731584548950195,9.549844741821289,-1.1817396879196167,-1.1852856874465942,-1.1781936883926392,9.138083457946777,9.961605072021484,0.41839998960494995,0.438400000333786,0.3983999788761139
4036,4036,0.32,9.7,9.667741775512695,9.25281047821045,-0.4149310290813446,-0.42326900362968445,-0.40659305453300476,9.131738662719727,9.373882293701172,0.8367999792098999,0.774399995803833,0.8991999626159668
4037,4037,0.49,8.18,8.427292823791504,7.785896301269531,-0.6413964033126831,-0.6183093190193176,-0.6644834280014038,7.871974945068359,7.699817657470703,0.6815999746322632,0.7008000016212463,0.6624000072479248
4038,4038,0.35,4.83,-1.0665595531463623,-2.2712831497192383,-1.204723596572876,-1.2522239685058594,-1.1572232246398926,-1.684956669807434,-2.857609748840332,0.6567999720573425,0.8047999739646912,0.5087999701499939
4039,4039,0.43,10.11,9.185267448425293,8.859346389770508,-0.32592129707336426,-0.33329588174819946,-0.31854671239852905,8.956045150756836,8.762646675109863,0.7152000069618225,0.6991999745368958,0.7311999797821045
